City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
294,kawalu,-7.3817,108.2082,21.74,95,30,0.6,ID,1677874691
295,tilichiki,60.4667,166.1,-23.47,90,100,4.99,RU,1677874504
296,port hueneme,34.1478,-119.1951,19.7,60,0,2.06,US,1677874691
297,basud,14.065,122.9642,23.35,83,100,5.3,PH,1677874691
298,mahajanga,-15.7167,46.3167,25.01,94,40,1.54,MG,1677874534
299,mount isa,-20.7333,139.5,21.87,94,100,3.09,AU,1677874544
300,brae,60.3964,-1.353,5.04,67,78,6.66,GB,1677874691
301,groningen,53.25,6.75,6.12,79,100,3.09,NL,1677874691
302,sibu,2.3,111.8167,24.17,100,40,1.54,MY,1677874691
303,nchelenge,-9.3451,28.734,21.26,88,100,3.81,ZM,1677874692
304,ranong,9.9658,98.6348,23.58,89,39,1.83,TH,1677874692
305,norman wells,65.282,-126.8329,-24.98,70,20,3.6,CA,1677874517
306,sabha,27.0377,14.4283,22.81,12,0,3.99,LY,1677874546
307,zalantun,48.0,122.7167,-2.33,83,4,1.92,CN,1677874692
308,oriximina,-1.7656,-55.8661,28.65,79,24,1.71,BR,1677874422
309,saskylakh,71.9167,114.0833,-14.21,96,100,4.0,RU,1677874437
310,sokoto,13.0609,5.239,28.85,14,0,0.15,NG,1677874692
311,leshan,29.5623,103.7639,12.3,75,8,1.11,CN,1677874693
312,acapulco,16.8634,-99.8901,29.9,58,20,2.57,MX,1677874492
313,netanya,32.3329,34.8599,17.01,78,6,2.79,IL,1677874616
314,gornyy,55.1153,83.9059,-9.37,89,96,8.1,RU,1677874693
315,plastun,44.7561,136.2939,-8.58,81,4,2.81,RU,1677874693
316,ostrovnoy,68.0531,39.5131,-14.5,98,87,3.62,RU,1677874551
317,samur,41.8253,48.486,5.64,94,100,2.85,RU,1677874693
318,kapasan,-6.7773,111.3789,23.13,93,100,1.75,ID,1677874693
319,safaga,26.7292,33.9365,23.79,35,0,2.98,EG,1677874693
320,albury,-36.0833,146.9167,18.34,100,85,1.34,AU,1677874693
321,mount gambier,-37.8333,140.7667,11.12,94,100,1.37,AU,1677874498
322,nekhayevskiy,50.4106,41.7561,0.49,88,100,4.51,RU,1677874694
323,tezu,27.9167,96.1667,19.77,39,65,1.91,IN,1677874525
324,paamiut,61.994,-49.6678,3.39,79,100,4.18,GL,1677874497
325,ambanja,-13.6833,48.45,23.64,93,100,1.64,MG,1677874694
326,krasnoselkup,65.7,82.4667,-21.17,98,85,5.62,RU,1677874694
327,kendal,54.3268,-2.7476,5.88,78,15,0.68,GB,1677874694
328,vilcun,-38.65,-72.2333,21.41,35,7,4.16,CL,1677874694
329,morant bay,17.8815,-76.4093,30.39,66,3,6.33,JM,1677874695
330,chimoio,-19.1164,33.4833,19.63,92,100,2.09,MZ,1677874695
331,kerema,-7.9631,145.7785,23.9,85,100,3.88,PG,1677874695
332,yar-sale,66.8333,70.8333,-17.33,97,98,3.73,RU,1677874513
333,guerrero negro,27.9769,-114.0611,16.98,50,44,6.47,MX,1677874499
334,ndioum,16.5129,-14.6471,30.37,8,100,4.25,SN,1677874695
335,uige,-7.6087,15.0613,22.29,80,98,0.39,AO,1677874541
336,tasiilaq,65.6145,-37.6368,-1.91,98,100,4.66,GL,1677874503
337,ushirombo,-3.4919,31.9639,18.22,93,21,0.91,TZ,1677874695
338,bonfim,3.0833,-59.95,32.31,45,98,3.28,BR,1677874695
339,sayan,-11.1361,-77.1933,26.57,68,92,4.42,PE,1677874695
340,farafangana,-22.8167,47.8333,23.99,89,100,1.46,MG,1677874695
341,swan hill,-35.3378,143.5544,15.23,65,67,2.17,AU,1677874696
342,shingu,33.7333,135.9833,4.39,50,94,2.31,JP,1677874535
343,mayo,38.8876,-76.5119,6.16,83,100,5.14,US,1677874495
344,aba,5.1066,7.3667,27.09,77,97,3.11,NG,1677874696
345,aden,12.7794,45.0367,24.99,82,5,9.07,YE,1677874435
346,myitkyina,25.3833,97.4,17.08,48,2,0.98,MM,1677874547
347,homer,59.6425,-151.5483,-4.06,40,0,4.02,US,1677874530
348,provideniya,64.3833,-173.3,-27.0,100,90,2.37,RU,1677874524
349,hokitika,-42.7167,170.9667,15.96,88,27,2.46,NZ,1677874696
350,itaueira,-7.6033,-43.0256,35.07,30,95,1.88,BR,1677874696
351,antofagasta,-23.65,-70.4,22.6,67,9,3.53,CL,1677874696
352,pechora,65.1472,57.2244,-23.48,100,98,1.87,RU,1677874696
353,souillac,-20.5167,57.5167,24.21,88,40,2.57,MU,1677874505
354,duverge,18.3784,-71.5247,30.03,39,6,4.38,DO,1677874697
355,malakal,9.5334,31.6605,30.36,11,40,2.05,SS,1677874697
356,siteki,-26.45,31.95,16.37,96,0,0.4,SZ,1677874697
357,pathein,16.7833,94.7333,21.07,79,0,2.63,MM,1677874697
358,mega,4.05,38.3,20.39,45,27,7.0,ET,1677874697
